id,name,fz,x,y
95,tensors,1,0,0
96,Divergence Theorem,1,0,0
97,complex vectors and matrices,1,0,0
98,computing matrix inverses,1,0,0
99,LU factorization,1,0,0
100,moment generating functions,1,0,0
101,multivariate CDF,1,0,0
102,rejection sampling,1,0,0
103,transformation method,1,0,0
104,weak law of large numbers,1,0,0
105,Bayes net parameter learning,1,0,0
106,Markov models,1,0,0
107,linear regression as maximum likelihood,1,0,0
108,covariance matrices,1,0,0
109,Bayesian decision theory,1,0,0
110,ridge regression,1,0,0
111,Bayesian model comparison,1,0,0
112,MAP parameter estimation,1,0,0
113,naive Bayes,1,0,0
114,Bayesian parameter estimation: multinomial distribution,1,0,0
115,Bayesian parameter estimation in exponential families,1,0,0
116,Bayesian parameter estimation: Gaussian distribution,1,0,0
117,Dirichlet distribution,1,0,0
118,Markov chain Monte Carlo,1,0,0
119,eigenvalues and eigenvectors,1,0,0
120,orthogonal subspaces,1,0,0
121,uninformative priors,1,0,0
122,Fisher information,1,0,0
123,hidden Markov models,1,0,0
124,PDFs of functions of random variables,1,0,0
125,KL divergence,1,0,0
126,determinant and volume,1,0,0
127,tangent bundle,1,0,0
128,Green's Theorem,1,0,0
129,second derivative test,1,0,0
130,Cramer's rule,1,0,0
131,Central Limit Theorem,1,0,0
132,mutual information,1,0,0
133,convex functions,1,0,0
134,strong law of large numbers,1,0,0
135,Wishart distribution,1,0,0
136,adaptive rejection sampling,1,0,0
137,inference in MRFs,1,0,0
138,d-separation,1,0,0
139,conditional random fields,1,0,0
140,stochastic gradient descent,1,0,0
141,factor graphs,1,0,0
142,variable elimination,1,0,0
143,Cholesky decomposition,1,0,0
144,log-linear MRFs,1,0,0
145,Bayesian estimation of Bayes net parameters,1,0,0
146,multivariate Gaussian distribution,1,0,0
147,logistic regression,1,0,0
148,evidence approximation,1,0,0
149,Bayesian model averaging,1,0,0
150,Bayesian naive Bayes,1,0,0
151,Chinese restaurant process,1,0,0
152,Gibbs sampling,1,0,0
153,MCMC convergence,1,0,0
154,projection onto a subspace,1,0,0
155,kernel trick,1,0,0
156,Jeffreys prior,1,0,0
157,particle filter,1,0,0
158,variational inference,1,0,0
159,cotangent bundle,1,0,0
160,evaluating multiple integrals: change of variables,1,0,0
161,Stokes' Theorem (three dimensions),1,0,0
162,diagonalization,1,0,0
163,multiplicity of eigenvalues,1,0,0
164,differential entropy,1,0,0
165,Jensen's inequality,1,0,0
166,annealed importance sampling,1,0,0
167,forward-backward algorithm,1,0,0
168,Bayes Ball,1,0,0
169,computational complexity of graphical model inference,1,0,0
170,converting between graphical models,1,0,0
171,MRF parameter learning,1,0,0
172,sum-product on trees,1,0,0
173,max-product on trees,1,0,0
174,computations on multivariate Gaussians,1,0,0
175,information form for multivariate Gaussians,1,0,0
176,Laplace approximation,1,0,0
177,probit regression,1,0,0
178,Dirichlet process,1,0,0
179,Indian buffet process,1,0,0
180,mixture of Gaussians models,1,0,0
181,collapsed Gibbs sampling,1,0,0
182,orthonormal bases,1,0,0
183,Gaussian processes,1,0,0
184,Metropolis-Hastings algorithm,1,0,0
185,maximum likelihood: multivariate Gaussians,1,0,0
186,sequential Monte Carlo,1,0,0
187,mean field approximation,1,0,0
188,tensor fields on manifolds,1,0,0
189,linear least squares,1,0,0
190,solving difference equations with matrices,1,0,0
191,sampling from a Gaussian,1,0,0
192,Bayes net structure learning,1,0,0
193,Boltzmann machines,1,0,0
194,restricted Boltzmann machines,1,0,0
195,loopy belief propagation,1,0,0
196,Viterbi algorithm,1,0,0
197,junction trees,1,0,0
198,linear dynamical systems,1,0,0
199,linear-Gaussian models,1,0,0
200,Swedsen-Wang algorithm,1,0,0
201,Bayesian parameter estimation: multivariate Gaussians,1,0,0
202,beta process,1,0,0
203,CRP clustering,1,0,0
204,spectral decomposition,1,0,0
205,Gibbs sampling as a special case of Metropolis-Hastings,1,0,0
206,Expectation-Maximization algorithm,1,0,0
207,reversible jump MCMC,1,0,0
208,variational Bayes,1,0,0
209,variational inference and exponential families,1,0,0
210,differential forms,1,0,0
211,linear regression: closed-form solution,1,0,0
212,QR decomposition,1,0,0
213,unitary matrices,1,0,0
214,deep belief networks,1,0,0
215,expectation propagation,1,0,0
216,Gaussian MRFs,1,0,0
217,HMM inference as belief propagation,1,0,0
218,Hamiltonian Monte Carlo,1,0,0
219,Kalman filter,1,0,0
220,loopy BP as variational inference,1,0,0
221,structured mean field,1,0,0
222,Bayesian linear regression,1,0,0
223,singular value decomposition,1,0,0
224,factor analysis,1,0,0
225,exterior derivative,1,0,0
226,Baum-Welch algorithm,1,0,0
227,Gaussian BP on trees,1,0,0
228,Gaussian variable elimination,1,0,0
229,Kalman filter derivation,1,0,0
230,Kalman smoother,1,0,0
231,learning Bayes net parameters with missing data,1,0,0
232,variational interpretation of EM,1,0,0
233,Bayesian logistic regression,1,0,0
234,latent semantic analysis,1,0,0
235,Gaussian process regression,1,0,0
236,IBP linear-Gaussian model,1,0,0
237,pullback,1,0,0
238,Gaussian variable elimination as Gaussian elimination,1,0,0
239,Kalman smoothing as forward-backward,1,0,0
240,learning linear dynamical systems,1,0,0
241,probabilistic Latent Semantic Analysis,1,0,0
242,learning GP hyperparameters,1,0,0
243,latent Dirichlet allocation,1,0,0
244,Chinese restaurant franchise,1,0,0
245,hierarchical Dirichlet process,1,0,0
